epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.0049019609577953815,0.0010000000474974513,5.604905605316162,0.009803921915590763,4.6635003089904785
1,0.0117647061124444,0.0010000000474974513,5.34788703918457,0.009803921915590763,4.662333011627197
2,0.007843137718737125,0.0010000000474974513,5.265991687774658,0.009803921915590763,4.650997638702393
3,0.008823529817163944,0.0010000000474974513,5.247089385986328,0.009803921915590763,4.650503158569336
4,0.009803921915590763,0.0010000000474974513,5.233574867248535,0.009803921915590763,4.660119533538818
5,0.0058823530562222,0.0010000000474974513,5.20582389831543,0.009803921915590763,4.667754650115967
6,0.018627451732754707,0.0010000000474974513,5.152329921722412,0.009803921915590763,4.662878513336182
7,0.010784314014017582,0.0005000000237487257,5.070947170257568,0.013725490309298038,4.656626224517822
8,0.0117647061124444,0.0005000000237487257,5.079159259796143,0.010784314014017582,4.658092021942139
9,0.006862745154649019,0.0005000000237487257,5.071648120880127,0.009803921915590763,4.656005859375
10,0.010784314014017582,0.0002500000118743628,4.989394664764404,0.010784314014017582,4.651249408721924
11,0.013725490309298038,0.0002500000118743628,4.945440292358398,0.01274509821087122,4.651925563812256
12,0.009803921915590763,0.0002500000118743628,4.941200256347656,0.010784314014017582,4.653362274169922
13,0.0117647061124444,0.0001250000059371814,4.960318565368652,0.010784314014017582,4.6510210037231445
14,0.0058823530562222,0.0001250000059371814,4.9945549964904785,0.009803921915590763,4.651534080505371
15,0.006862745154649019,0.0001250000059371814,4.987370014190674,0.010784314014017582,4.650209426879883
